date,strike,lastPrice,bid,ask,change,pctChange,volume,openInterest,iv,itm,distProb,Index
2023-07-14,5.0,10.3,10.15,10.35,0.0,0.0,1,10,7.187501015625001,True,0.0,0
2023-07-14,8.0,7.21,7.15,7.35,0.0,0.0,1,1,4.343754570312499,True,0.0,1
2023-07-14,10.0,5.46,5.15,5.35,0.0,0.0,1,3,3.0000025,True,0.0,2
2023-07-14,10.5,4.5,4.6,4.85,0.0,0.0,1,13,2.06250484375,True,0.0,3
2023-07-14,11.0,4.35,4.15,4.35,0.27999973,6.8796,3,36,2.406253984375,True,0.0,4
2023-07-14,11.5,3.8,3.65,3.85,0.06999993,1.8766738,2,59,2.1093797265625,True,0.0,5
2023-07-14,12.0,3.28,3.15,3.35,0.029999971,0.9230761,42,344,1.84375078125,True,0.0,6
2023-07-14,12.5,2.79,2.67,2.81,0.059999943,2.1978,91,1222,1.46875265625,True,0.0,7
2023-07-14,13.0,2.29,2.16,2.31,0.059999943,2.6905804,31,670,1.15625421875,True,0.00011,8
2023-07-14,13.5,1.75,1.67,1.81,0.03999996,2.339179,43,1391,0.9687503125,True,0.00186,9
2023-07-14,14.0,1.25,1.15,1.3,0.01999998,1.6260147,1342,6012,0.5625043750000001,True,0.02117,10
2023-07-14,14.5,0.8,0.7,0.78,0.050000012,6.6666684,358,7266,0.6562534375000001,True,0.1167,11
2023-07-14,15.0,0.29,0.28,0.3,-0.030000001,-9.375001,26233,14866,0.37500625,True,0.36046,12
2023-07-14,15.5,0.05,0.04,0.05,-0.029999997,-37.499996,20742,18112,0.3320379296875,False,0.31398,13
2023-07-14,16.0,0.01,0.01,0.02,-0.01,-50.0,683,7203,0.48438015625,False,0.09067,14
2023-07-14,16.5,0.01,0.0,0.01,0.0,0.0,40,2419,0.5312546875,False,0.0144,15
2023-07-14,17.0,0.01,0.0,0.01,0.0,0.0,15,1044,0.6875031250000001,False,0.0013,16
2023-07-14,17.5,0.01,0.0,0.01,0.0,0.0,50,498,0.87500125,False,3e-05,17
2023-07-14,18.0,0.01,0.0,0.01,0.0,0.0,1,88,1.000005,False,1e-05,18
2023-07-14,19.0,0.01,0.0,0.01,0.0,0.0,1,24,1.25000375,False,0.0,19
